win,0,2021-04-18 20:47:26.255429,148.40999999999997,0.05,2
win,0,2021-04-18 20:49:21.741833,155.82999999999998,0.05,2
loss,7.79,2021-04-18 20:51:07.109377,148.04,0.05,2
loss,15.58,2021-04-18 20:51:17.746432,132.45999999999998,0.05,2
win,0,2021-04-18 20:51:57.922798,163.61999999999998,0.05,2
win,0,2021-04-18 20:53:07.745520,171.79999999999995,0.05,2
loss,8.59,2021-04-18 20:54:51.795659,163.20999999999995,0.05,2
loss,17.18,2021-04-18 20:55:05.767502,146.02999999999994,0.05,2
loss,34.36,2021-04-18 20:55:24.984383,111.66999999999994,0.05,2
loss,68.72,2021-04-18 20:55:45.550157,42.949999999999946,0.05,2
win,0,2021-04-18 20:56:34.176400,180.38999999999993,0.05,2
loss,9.02,2021-04-18 21:04:04.919965,171.36999999999992,0.05,2
loss,18.04,2021-04-18 21:04:15.226678,153.32999999999993,0.05,2
loss,36.08,2021-04-18 21:04:30.966422,117.24999999999993,0.05,2
loss,72.16,2021-04-18 21:04:47.840906,45.08999999999993,0.05,2
loss,144.32,2021-04-18 21:05:00.948453,-99.23000000000006,0.05,2
win,0,2021-04-18 21:05:25.548894,189.4099999999999,0.05,2
win,0,2021-04-18 21:20:50.206790,198.8799999999999,0.05,2
win,0,2021-04-18 21:26:34.787095,208.8199999999999,0.05,2
loss,10.44,2021-04-18 21:28:15.603917,198.3799999999999,0.05,2
win,0,2021-04-18 21:29:05.225269,219.2599999999999,0.05,2
win,0,2021-04-18 21:38:02.036613,230.2199999999999,0.05,2
loss,11.51,2021-04-18 21:42:45.188805,218.70999999999992,0.05,2
loss,23.02,2021-04-18 21:42:56.891893,195.6899999999999,0.05,2
win,0,2021-04-18 21:43:21.628396,241.7299999999999,0.05,2
win,0,2021-04-18 21:44:50.449234,253.8199999999999,0.05,2
win,0,2021-04-18 21:48:18.820670,266.50999999999993,0.05,2
win,0,2021-04-18 21:52:28.537916,279.8399999999999,0.05,2
win,0,2021-04-18 22:01:02.354421,293.8299999999999,0.05,2
win,0,2021-04-18 22:03:34.643009,308.5199999999999,0.05,2
win,0,2021-04-18 22:05:39.293742,323.94999999999993,0.05,2
win,0,2021-04-18 22:08:53.938510,340.1499999999999,0.05,2
loss,17.01,2021-04-18 22:19:49.720745,323.13999999999993,0.05,2
win,0,2021-04-18 22:20:13.751074,357.15999999999997,0.05,2
loss,17.86,2021-04-18 22:23:09.048654,339.29999999999995,0.05,2
loss,35.72,2021-04-18 22:23:25.247148,303.5799999999999,0.05,2
win,0,2021-04-18 22:23:49.338961,375.0199999999999,0.05,2
loss,18.75,2021-04-18 22:28:06.375420,356.2699999999999,0.05,2
win,0,2021-04-18 22:28:38.987440,393.7699999999999,0.05,2
win,0,2021-04-18 22:30:58.750879,413.4599999999999,0.05,2
loss,20.67,2021-04-18 22:36:36.162499,392.7899999999999,0.05,2
win,0,2021-04-18 22:37:44.123186,434.12999999999994,0.05,2
loss,21.71,2021-04-18 22:39:36.249641,412.41999999999996,0.05,2
loss,43.42,2021-04-18 22:39:55.036271,368.99999999999994,0.05,2
win,0,2021-04-18 22:40:36.895682,455.84,0.05,2
win,0,2021-04-18 22:41:48.050040,478.62999999999994,0.05,2
loss,23.93,2021-04-18 22:49:56.362624,454.69999999999993,0.05,2
win,0,2021-04-18 22:50:52.660662,502.55999999999995,0.05,2
win,0,2021-04-18 22:55:36.240439,527.6899999999999,0.05,2
win,0,2021-04-18 23:09:35.911126,554.0699999999999,0.05,2
loss,27.7,2021-04-18 23:17:25.360214,526.3699999999999,0.05,2
loss,55.4,2021-04-18 23:17:38.332440,470.9699999999999,0.05,2
loss,110.8,2021-04-18 23:17:49.210117,360.1699999999999,0.05,2
win,0,2021-04-18 23:18:39.883167,581.7699999999999,0.05,2
win,0,2021-04-18 23:20:11.214498,610.8599999999998,0.05,2
win,0,2021-04-18 23:21:32.512294,641.3999999999999,0.05,2
loss,32.07,2021-04-18 23:26:31.782753,609.3299999999998,0.05,2
loss,64.14,2021-04-18 23:26:51.994737,545.1899999999998,0.05,2
loss,128.28,2021-04-18 23:27:05.476910,416.90999999999985,0.05,2
loss,256.56,2021-04-18 23:27:23.296905,160.34999999999985,0.05,2
loss,513.12,2021-04-18 23:27:39.645689,-352.77000000000015,0.05,2
loss,1026.24,2021-04-18 23:27:54.954411,-1379.0100000000002,0.05,2
loss,2052.48,2021-04-18 23:28:08.784490,-3431.4900000000002,0.05,2
loss,4104.96,2021-04-18 23:28:19.212801,-7536.450000000001,0.05,2
loss,8209.92,2021-04-18 23:28:34.416336,-15746.37,0.05,2
win,0,2021-04-18 23:29:12.312167,673.4700000000012,0.05,2
win,0,2021-04-18 23:31:54.207511,707.1400000000012,0.05,2
loss,35.36,2021-04-18 23:39:38.803029,671.7800000000012,0.05,2
win,0,2021-04-18 23:40:12.343453,742.5000000000011,0.05,2
win,0,2021-04-18 23:43:03.929113,779.6300000000011,0.05,2
loss,38.98,2021-04-18 23:46:19.030943,740.6500000000011,0.05,2
loss,77.96,2021-04-18 23:46:31.144704,662.6900000000011,0.05,2
loss,155.92,2021-04-18 23:46:45.368258,506.7700000000011,0.05,2
win,0,2021-04-18 23:47:45.065412,818.610000000001,0.05,2
win,0,2021-04-19 00:02:11.541047,859.5400000000011,0.05,2
loss,42.98,2021-04-19 00:04:55.063574,816.5600000000011,0.05,2
loss,85.96,2021-04-19 00:05:07.389746,730.600000000001,0.05,2
win,0,2021-04-19 00:05:41.502146,902.5200000000011,0.05,2
